Date,Event,Weight class,Fighter1,Result,Fighter2,Method,Round,Time,Time (secs),Note
2020-05-09,UFC 249 Ferguson vs. Gaethje,Lightweight,Justin Gaethje,def.,Tony Ferguson,TKO (punches),5,3:39,219,[a]
2020-05-09,UFC 249 Ferguson vs. Gaethje,Bantamweight,Henry Cejudo (c),def.,Dominick Cruz,TKO (knee and punches),2,4:58,298,[b]
2020-05-09,UFC 249 Ferguson vs. Gaethje,Heavyweight,Francis Ngannou,def.,Jairzinho Rozenstruik,KO (punches),1,0:20,20,-
2020-05-09,UFC 249 Ferguson vs. Gaethje,Catchweight (150.5 lbs),Calvin Kattar,def.,Jeremy Stephens,TKO (elbows and punches),2,2:42,162,-
2020-05-09,UFC 249 Ferguson vs. Gaethje,Heavyweight,Greg Hardy,def.,Yorgan de Castro,"Decision (unanimous) (30-27, 30-27, 30-27)",3,5:00,300,-
2020-05-09,UFC 249 Ferguson vs. Gaethje,Welterweight,Anthony Pettis,def.,Donald Cerrone,"Decision (unanimous) (29-28, 29-28, 29-28)",3,5:00,300,-
2020-05-09,UFC 249 Ferguson vs. Gaethje,Heavyweight,Aleksei Oleinik,def.,Fabricio Werdum,"Decision (split) (28-29, 29-28, 29-28)",3,5:00,300,-
2020-05-09,UFC 249 Ferguson vs. Gaethje,Women's Strawweight,Carla Esparza,def.,Michelle Waterson,"Decision (split) (27-30, 29-28, 30-27)",3,5:00,300,-
2020-05-09,UFC 249 Ferguson vs. Gaethje,Welterweight,Vicente Luque,def.,Niko Price,TKO (doctor stoppage),3,3:37,217,-
2020-05-09,UFC 249 Ferguson vs. Gaethje,Featherweight,Bryce Mitchell,def.,Charles Rosa,"Decision (unanimous) (30-25, 30-25, 30-24)",3,5:00,300,-
2020-05-09,UFC 249 Ferguson vs. Gaethje,Light Heavyweight,Ryan Spann,def.,Sam Alvey,"Decision (split) (29-28, 28-29, 29-28)",3,5:00,300,-
