Date,Event,Weight class,Fighter1,Result,Fighter2,Method,Round,Time,Note,Time (secs)
1993-11-12,UFC 1: The Beginning,-,Royce Gracie,def.,Art Jimmerson,Submission (mount),1.0,2:18,-,138
1993-11-12,UFC 1: The Beginning,-,Kevin Rosier,def.,Zane Frazier,TKO (corner stoppage),1.0,4:20,-,260
1993-11-12,UFC 1: The Beginning,-,Gerard Gordeau,def.,Teila Tuli,TKO (head kick),1.0,0:26,-,26
1993-11-12,UFC 1: The Beginning,-,Jason DeLucia,def.,Trent Jenkins,Submission (rear-naked choke),1.0,0:52,-,52
1993-11-12,UFC 1: The Beginning,-,Ken Shamrock,def.,Patrick Smith,Submission (heel hook),1.0,1:49,-,109
1993-11-12,UFC 1: The Beginning,-,Royce Gracie,def.,Ken Shamrock,Submission (sleeve choke),1.0,0:57,-,57
1993-11-12,UFC 1: The Beginning,-,Gerard Gordeau,def.,Kevin Rosier,TKO (corner stoppage),1.0,0:59,-,59
1993-11-12,UFC 1: The Beginning,-,Royce Gracie,def.,Gerard Gordeau,Submission (rear naked choke),1.0,1:44,-,104
1994-03-11,UFC 2: No Way Out,-,Patrick Smith,def.,Johnny Rhodes,Submission (guillotine choke),1.0,1:07,-,67
1994-03-11,UFC 2: No Way Out,-,Royce Gracie,def.,Remco Pardoel,Submission (lapel choke),1.0,1:31,-,91
1994-03-11,UFC 2: No Way Out,-,Patrick Smith,def.,Scott Morris,KO (elbows),1.0,0:30,-,30
1994-03-11,UFC 2: No Way Out,-,Remco Pardoel,def.,Orlando Wiet,KO (elbows),1.0,1:29,-,89
1994-03-11,UFC 2: No Way Out,-,Royce Gracie,def.,Jason DeLucia,Submission (armlock),1.0,1:07,-,67
1994-03-11,UFC 2: No Way Out,-,Scott Morris,def.,Sean Daugherty,Submission (guillotine choke),1.0,0:20,-,20
1994-03-11,UFC 2: No Way Out,-,Johnny Rhodes,def.,David Levicki,Submission (punches),1.0,12:13,-,733
1994-03-11,UFC 2: No Way Out,-,Royce Gracie,def.,Patrick Smith,Submission (punches),1.0,1:17,-,77
1994-03-11,UFC 2: No Way Out,-,Orlando Wiet,def.,Robert Lucarelli,TKO (corner stoppage),1.0,2:50,-,170
1994-03-11,UFC 2: No Way Out,-,Remco Pardoel,def.,Alberto Cerro Leon,Submission (forearm choke),1.0,9:51,-,591
1994-03-11,UFC 2: No Way Out,-,Jason DeLucia,def.,Scott Baker,Submission (triangle Choke),1.0,6:41,-,401
1994-03-11,UFC 2: No Way Out,-,Royce Gracie,def.,Minoki Ichihara,Submission (lapel choke),1.0,5:08,-,308
1994-03-11,UFC 2: No Way Out,-,Patrick Smith,def.,Ray Wizard,Submission (guillotine choke),1.0,0:58,-,58
1994-03-11,UFC 2: No Way Out,-,Frank Hamaker,def.,Thaddeus Luster,Submission (armlock),1.0,4:52,-,292
1994-03-11,UFC 2: No Way Out,-,Johnny Rhodes,def.,Fred Ettish,Submission (bulldog choke),1.0,3:07,[a],187
1994-09-09,UFC 3: The American Dream,-,Steve Jennum,def.,Harold Howard,Submission (punches),1.0,1:27,[a],87
1994-09-09,UFC 3: The American Dream,-,Ken Shamrock,def.,Felix Mitchell,Submission (rear-naked choke),1.0,4:34,[b],274
1994-09-09,UFC 3: The American Dream,-,Keith Hackney,def.,Emmanuel Yarborough,TKO (punches),1.0,1:59,-,119
1994-09-09,UFC 3: The American Dream,-,Ken Shamrock,def.,Christophe Leininger,Submission (punches),1.0,4:49,-,289
1994-09-09,UFC 3: The American Dream,-,Harold Howard,def.,Roland Payne,KO (punch),1.0,0:46,-,46
1994-09-09,UFC 3: The American Dream,-,Royce Gracie,def.,Kimo Leopoldo,Submission (armlock),1.0,4:40,[c],280
1994-12-16,UFC 4: Revenge of the Warriors,-,Joe Charles,def.,Kevin Rosier,Submission (armbar),1.0,0:14,-,14
1994-12-16,UFC 4: Revenge of the Warriors,-,Dan Severn,def.,Anthony Macias,Submission (rear-naked choke),1.0,1:45,-,105
1994-12-16,UFC 4: Revenge of the Warriors,-,Royce Gracie,def.,Dan Severn,Submission (triangle choke),1.0,15:49,-,949
1994-12-16,UFC 4: Revenge of the Warriors,-,Royce Gracie,def.,Keith Hackney,Submission (armbar),1.0,5:32,-,332
1994-12-16,UFC 4: Revenge of the Warriors,-,Dan Severn,def.,Marcus Bossett,Submission (arm-triangle choke),1.0,0:52,[a],52
1994-12-16,UFC 4: Revenge of the Warriors,-,Guy Mezger,def.,Jason Fairn,TKO (corner stoppage),1.0,2:13,-,133
1994-12-16,UFC 4: Revenge of the Warriors,-,Keith Hackney,def.,Joe Son,Submission (blood choke),1.0,2:44,-,164
1994-12-16,UFC 4: Revenge of the Warriors,-,Steve Jennum,def.,Melton Bowen,Submission (armbar),1.0,4:47,-,287
1994-12-16,UFC 4: Revenge of the Warriors,-,Marcus Bossett,def.,Eldo Dias Xavier,KO (strikes),1.0,4:55,-,295
1994-12-16,UFC 4: Revenge of the Warriors,-,Royce Gracie,def.,Ron van Clief,Submission (rear-naked choke),1.0,3:49,-,229
1995-04-07,UFC 5: The Return of the Beast,-,Ken Shamrock,vs.,Royce Gracie,Draw,1.0,36:06,[a],2166
1995-04-07,UFC 5: The Return of the Beast,-,Dan Severn,def.,Dave Beneteau,Submission (keylock),1.0,3:01,-,181
1995-04-07,UFC 5: The Return of the Beast,-,Dave Beneteau,def.,Todd Medina,Submission (Strikes),1.0,2:12,[b],132
1995-04-07,UFC 5: The Return of the Beast,-,Dan Severn,def.,Oleg Taktarov,TKO (cut),1.0,4:21,-,261
1995-04-07,UFC 5: The Return of the Beast,-,Todd Medina,def.,Larry Cureton,Submission (forearm choke),1.0,2:55,-,175
1995-04-07,UFC 5: The Return of the Beast,-,Oleg Taktarov,def.,Ernie Verdicia,Submission (choke),1.0,2:23,-,143
1995-04-07,UFC 5: The Return of the Beast,-,Dan Severn,def.,Joe Charles,Submission (rear-naked choke),1.0,1:38,-,98
1995-04-07,UFC 5: The Return of the Beast,-,Dave Beneteau,def.,Asbel Cancio,TKO (punches),1.0,0:21,-,21
1995-04-07,UFC 5: The Return of the Beast,-,Jon Hess,def.,Andy Anderson,TKO (punches),1.0,1:23,-,83
1995-04-07,UFC 5: The Return of the Beast,-,Guy Mezger,def.,John Dowdy,TKO (punches),1.0,2:02,-,122
1995-07-14,UFC 6: Clash of the Titans,-,Tank Abbott,def.,Paul Varelans,TKO (punches),1.0,1:53,-,113
1995-07-14,UFC 6: Clash of the Titans,-,Oleg Taktarov,def.,Tank Abbott,Submission (rear-naked choke),1.0,17:47,-,1067
1995-07-14,UFC 6: Clash of the Titans,-,Ken Shamrock,def.,Dan Severn,Submission (guillotine choke),1.0,2:14,[a],134
1995-07-14,UFC 6: Clash of the Titans,-,Oleg Taktarov,def.,Anthony Macias,Submission (guillotine choke),1.0,0:09,[b],9
1995-07-14,UFC 6: Clash of the Titans,-,Anthony Macias,def.,He-Man Ali Gipson,Submission (punches),1.0,3:06,-,186
1995-07-14,UFC 6: Clash of the Titans,-,Paul Varelans,def.,Cal Worsham,KO (elbow),1.0,1:02,-,62
1995-07-14,UFC 6: Clash of the Titans,-,Patrick Smith,def.,Rudyard Moncayo,Submission (rear-naked choke),1.0,1:08,-,68
1995-07-14,UFC 6: Clash of the Titans,-,Tank Abbott,def.,John Matua,KO (punch),1.0,0:20,-,20
1995-07-14,UFC 6: Clash of the Titans,-,Joel Sutton,def.,Jack McLaughlin,Submission (punches),1.0,2:01,-,121
1995-07-14,UFC 6: Clash of the Titans,-,Oleg Taktarov,def.,Dave Beneteau,Submission (guillotine),1.0,0:57,-,57
1995-09-08,UFC 7: The Brawl in Buffalo,-,Ken Shamrock (c),vs.,Oleg Taktarov,Draw,1.0,33:00,[a],1980
1995-09-08,UFC 7: The Brawl in Buffalo,-,Marco Ruas,def.,Paul Varelans,TKO (strikes),1.0,13:17,-,797
1995-09-08,UFC 7: The Brawl in Buffalo,-,Paul Varelans,def.,Mark Hall,Submission (keylock),1.0,1:04,-,64
1995-09-08,UFC 7: The Brawl in Buffalo,-,Paul Varelans,def.,Gerry Harris,Submission (elbows),1.0,1:07,-,67
1995-09-08,UFC 7: The Brawl in Buffalo,-,Marco Ruas,def.,Remco Pardoel,Submission (position),1.0,12:27,-,747
1995-09-08,UFC 7: The Brawl in Buffalo,-,Remco Pardoel,def.,Ryan Parker,Submission (lapel choke),1.0,3:05,-,185
1995-09-08,UFC 7: The Brawl in Buffalo,-,Marco Ruas,def.,Larry Cureton,Submission (heel hook),1.0,3:23,-,203
1995-09-08,UFC 7: The Brawl in Buffalo,-,Joel Sutton,def.,Geza Kalman,TKO (cut),1.0,0:48,-,48
1995-09-08,UFC 7: The Brawl in Buffalo,-,Onassis Parungao,def.,Francesco Maturi,Submission (strikes),1.0,5:26,-,326
1995-09-08,UFC 7: The Brawl in Buffalo,-,Scott Bessac,def.,David Hood,Submission (guillotine choke),1.0,0:31,-,31
1995-09-08,UFC 7: The Brawl in Buffalo,-,Mark Hall,def.,Harold Howard,Submission (strikes),1.0,1:41,-,101
1995-12-16,UFC: The Ultimate Ultimate,-,Mark Hall,def.,Trent Jenkins,Submission (armlock),1.0,5:29,-,329
1995-12-16,UFC: The Ultimate Ultimate,-,Joe Charles,def.,Scott Bessac,Submission (armlock),1.0,4:38,-,278
1995-12-16,UFC: The Ultimate Ultimate,-,Oleg Taktarov,def.,Dave Beneteau,Submission (achilles hold),1.0,1:15,-,75
1995-12-16,UFC: The Ultimate Ultimate,-,Marco Ruas,def.,Keith Hackney,Submission (rear-naked choke),1.0,2:39,-,159
1995-12-16,UFC: The Ultimate Ultimate,-,Dan Severn,def.,Paul Varelans,Submission (arm-triangle choke),1.0,1:01,-,61
1995-12-16,UFC: The Ultimate Ultimate,-,Oleg Taktarov,def.,Marco Ruas,Unanimous Decision,1.0,18:00,-,1080
1995-12-16,UFC: The Ultimate Ultimate,-,Dan Severn,def.,Tank Abbott,Unanimous Decision,1.0,18:00,-,1080
1995-12-16,UFC: The Ultimate Ultimate,-,Dan Severn,def.,Oleg Taktarov,Unanimous Decision,1.0,30:00,-,1800
1995-12-16,UFC: The Ultimate Ultimate,-,Tank Abbott,def.,Steve Jennum,Submission (neck crank),1.0,1:14,-,74
1996-02-16,UFC 8: David vs. Goliath,-,Don Frye,def.,Gary Goodridge,Submission (position),1.0,2:14,-,134
1996-02-16,UFC 8: David vs. Goliath,-,Don Frye,def.,Sam Adkins,TKO (doctor stoppage),1.0,0:48,[b],48
1996-02-16,UFC 8: David vs. Goliath,-,Gary Goodridge,def.,Jerry Bohlander,TKO (punches),1.0,5:31,-,331
1996-02-16,UFC 8: David vs. Goliath,-,Ken Shamrock (c),def.,Kimo Leopoldo,Submission (kneebar),1.0,4:24,[a],264
1996-02-16,UFC 8: David vs. Goliath,-,Paul Varelans,def.,Joe Moreira,Unanimous Decision,1.0,10:00,[c],600
1996-02-16,UFC 8: David vs. Goliath,-,Jerry Bohlander,def.,Scott Ferrozzo,Submission (guillotine choke),1.0,9:03,-,543
1996-02-16,UFC 8: David vs. Goliath,-,Gary Goodridge,def.,Paul Herrera,KO (elbows),1.0,0:13,-,13
1996-02-16,UFC 8: David vs. Goliath,-,Sam Adkins,def.,Keith Mielke,Submission (punches),1.0,0:50,-,50
1996-02-16,UFC 8: David vs. Goliath,-,Don Frye,def.,Thomas Ramirez,KO (punch),1.0,0:08,-,8
1996-05-17,UFC 9: Motor City Madness,-,Don Frye,def.,Amaury Bitetti,TKO (punches),1.0,9:22,-,562
1996-05-17,UFC 9: Motor City Madness,-,Mark Hall,def.,Koji Kitao,TKO (doctor stoppage - broken nose),1.0,0:40,-,40
1996-05-17,UFC 9: Motor City Madness,-,Mark Schultz,def.,Gary Goodridge,TKO (cut),1.0,12:00,-,720
1996-05-17,UFC 9: Motor City Madness,-,Rafael Carino,def.,Matt Andersen,TKO (punches),1.0,5:32,-,332
1996-05-17,UFC 9: Motor City Madness,-,Cal Worsham,def.,Zane Frazier,TKO (punches),1.0,3:14,-,194
1996-05-17,UFC 9: Motor City Madness,-,Steve Nelmark,def.,Tai Bowden,TKO (doctor stoppage),1.0,7:25,-,445
1996-05-17,UFC 9: Motor City Madness,-,Dan Severn,def.,Ken Shamrock (c),Split decision,1.0,30:00,[a],1800
1996-07-12,UFC 10: The Tournament,-,Don Frye,def.,Brian Johnston,Submission (elbow),1.0,4:37,-,277
1996-07-12,UFC 10: The Tournament,-,Mark Coleman,def.,Don Frye,TKO (punches),1.0,11:34,-,694
1996-07-12,UFC 10: The Tournament,-,Don Frye,def.,Mark Hall,TKO (punches),1.0,10:21,-,621
1996-07-12,UFC 10: The Tournament,-,Mark Coleman,def.,Gary Goodridge,Submission (exhaustion),1.0,7:00,-,420
1996-07-12,UFC 10: The Tournament,-,Mark Coleman,def.,Moti Horenstein,Submission (punches),1.0,2:43,-,163
1996-07-12,UFC 10: The Tournament,-,Gary Goodridge,def.,John Campetella,KO (punches),1.0,1:28,-,88
1996-07-12,UFC 10: The Tournament,-,Geza Kalman,def.,Dieuseul Berto,TKO (punches),1.0,5:57,-,357
1996-07-12,UFC 10: The Tournament,-,Brian Johnston,def.,Scott Fiedler,Submission (punches),1.0,2:25,-,145
1996-07-12,UFC 10: The Tournament,-,Sam Adkins,def.,Felix Mitchell,Unanimous decision,1.0,10:00,-,600
1996-09-20,UFC 11: The Proving Ground,-,Mark Coleman,def.,Scott Ferrozzo,Walkover (injury),1.0,00:00,[a],0
1996-09-20,UFC 11: The Proving Ground,-,Mark Coleman,def.,Brian Johnston,Submission (strikes),1.0,2:20,-,140
1996-09-20,UFC 11: The Proving Ground,-,Scott Ferrozzo,def.,Tank Abbott,Unanimous decision,1.0,18:00,[b],1080
1996-09-20,UFC 11: The Proving Ground,-,Mark Coleman,def.,Julian Sanchez,Submission (scarf hold choke),1.0,0:45,-,45
1996-09-20,UFC 11: The Proving Ground,-,Brian Johnston,def.,Reza Nasri,TKO (strikes),1.0,0:28,-,28
1996-09-20,UFC 11: The Proving Ground,-,Tank Abbott,def.,Sam Adkins,Submission (forearm choke),1.0,2:06,-,126
1996-09-20,UFC 11: The Proving Ground,-,Jerry Bohlander,def.,Fabio Gurgel,Unanimous decision,1.0,15:00,-,900
1996-09-20,UFC 11: The Proving Ground,-,Scott Ferrozzo,def.,Sam Fulton,Submission (strikes),1.0,1:45,-,105
1996-09-20,UFC 11: The Proving Ground,-,Roberto Traven,def.,Dave Berry,Submission (strikes),1.0,1:23,[c],83
1996-12-07,UFC: The Ultimate Ultimate 2,-,Don Frye,def.,Tank Abbott,Submission (rear-naked choke),1.0,1:22,-,82
1996-12-07,UFC: The Ultimate Ultimate 2,-,Tank Abbott,def.,Steve Nelmark,KO (punch),1.0,1:03,[a],63
1996-12-07,UFC: The Ultimate Ultimate 2,-,Don Frye,def.,Mark Hall,Submission (achilles lock),1.0,0:20,[b],20
1996-12-07,UFC: The Ultimate Ultimate 2,-,Ken Shamrock,def.,Brian Johnston,Submission (forearm choke),1.0,5:48,[c],348
1996-12-07,UFC: The Ultimate Ultimate 2,-,Tai Bowden,def.,Jack Nilson,Submission (headbutts),1.0,4:46,-,286
1996-12-07,UFC: The Ultimate Ultimate 2,-,Don Frye,def.,Gary Goodridge,Submission (fatigue),1.0,11:19,-,679
1996-12-07,UFC: The Ultimate Ultimate 2,-,Kimo Leopoldo,def.,Paul Varelans,TKO (corner stoppage),1.0,9:08,[d],548
1996-12-07,UFC: The Ultimate Ultimate 2,-,Mark Hall,def.,Felix Mitchell,TKO (punches),1.0,1:45,-,105
1996-12-07,UFC: The Ultimate Ultimate 2,-,Tank Abbott,def.,Cal Worsham,Submission (punches),1.0,2:51,-,171
1996-12-07,UFC: The Ultimate Ultimate 2,-,Steve Nelmark,def.,Marcus Bossett,Submission (choke),1.0,1:37,-,97
1997-02-07,UFC 12: Judgement Day,Lightweight,Jerry Bohlander,def.,Nick Sanzo,Submission (Neck Crank),1.0,0:39,[a],39
1997-02-07,UFC 12: Judgement Day,Lightweight,Jerry Bohlander,def.,Rainy Martinez,Submission (rear naked choke),1.0,1:18,-,78
1997-02-07,UFC 12: Judgement Day,Lightweight,Yoshiki Takahashi,def.,Wallid Ismail,Decision,1.0,15:00,[b],900
1997-02-07,UFC 12: Judgement Day,Heavyweight,Scott Ferrozzo,def.,Jim Mullen,TKO (punches),1.0,8:02,-,482
1997-02-07,UFC 12: Judgement Day,Heavyweight,Mark Coleman,def.,Dan Severn,Submission (neck crank),1.0,2:57,[c],177
1997-02-07,UFC 12: Judgement Day,Heavyweight,Vitor Belfort,def.,Scott Ferrozzo,TKO (punches),1.0,0:43,-,43
1997-02-07,UFC 12: Judgement Day,Heavyweight,Vitor Belfort,def.,Tra Telligman,TKO (cut),1.0,1:17,-,77
1997-02-07,UFC 12: Judgement Day,Lightweight,Nick Sanzo,def.,Jackie Lee,TKO (strikes),1.0,0:48,-,48
1997-02-07,UFC 12: Judgement Day,Heavyweight,Justin Martin,def.,Eric Martin,Submission (heel hook),1.0,0:14,-,14
1997-05-30,UFC 13: The Ultimate Force,Lightweight,Guy Mezger,def.,Tito Ortiz,Submission (guillotine choke),1.0,3:00,[a],180
1997-05-30,UFC 13: The Ultimate Force,Lightweight,Enson Inoue,def.,Royce Alger,Submission (armbar),1.0,1:36,-,96
1997-05-30,UFC 13: The Ultimate Force,Lightweight,Tito Ortiz,def.,Wes Albritton,TKO (corner stoppage),1.0,0:31,-,31
1997-05-30,UFC 13: The Ultimate Force,Lightweight,Guy Mezger,def.,Christophe Leininger,Decision (unanimous),1.0,15:00,-,900
1997-05-30,UFC 13: The Ultimate Force,Heavyweight,Randy Couture,def.,Tony Halme,Submission (rear-naked choke),1.0,1:00,-,60
1997-05-30,UFC 13: The Ultimate Force,Heavyweight,Jack Nilson,def.,Saeed Hosseini,TKO (punches),1.0,1:23,-,83
1997-05-30,UFC 13: The Ultimate Force,Heavyweight,Vitor Belfort,def.,Tank Abbott,TKO (punches),1.0,0:52,-,52
1997-05-30,UFC 13: The Ultimate Force,Heavyweight,Randy Couture,def.,Steven Graham,TKO (punches),1.0,3:13,-,193
1997-05-30,UFC 13: The Ultimate Force,Heavyweight,Steven Graham,def.,Dmitri Stepanov,Submission (armlock),1.0,1:30,-,90
1997-07-27,UFC 14: Showdown,Heavyweight,Alex Hunter,def.,Sam Fulton,TKO (punches),1.0,2:22,-,142
1997-07-27,UFC 14: Showdown,Heavyweight,Dan Bobish,def.,Brian Johnston,Submission (forearm choke),1.0,2:10,-,130
1997-07-27,UFC 14: Showdown,Heavyweight,Mark Kerr,def.,Moti Horenstein,TKO (punches),1.0,2:22,-,142
1997-07-27,UFC 14: Showdown,Heavyweight,Mark Kerr,def.,Dan Bobish,Submission (chin to the eye),1.0,1:38,-,98
1997-07-27,UFC 14: Showdown,Middleweight,Tony Fryklund,def.,Donnie Chappell,Submission (choke),1.0,1:31,[d],91
1997-07-27,UFC 14: Showdown,Middleweight,Kevin Jackson,def.,Todd Butler,Submission (punches),1.0,1:27,-,87
1997-07-27,UFC 14: Showdown,Middleweight,Joe Moreira,def.,Yuri Vaulin,Unanimous decision,1.0,15:00,[c],900
1997-07-27,UFC 14: Showdown,Heavyweight,Maurice Smith,def.,Mark Coleman (c),Unanimous decision,1.0,21:00,[a],1260
1997-07-27,UFC 14: Showdown,Middleweight,Kevin Jackson,def.,Tony Fryklund,Submission (rear-naked choke),1.0,0:44,[b],44
1997-10-17,UFC 15: Collision Course,Heavyweight,Dwayne Cason,def.,Houston Dorr,TKO (punches),1.0,3:43,-,223
1997-10-17,UFC 15: Collision Course,Heavyweight,Alex Hunter,def.,Harry Moskowitz,Decision (split),1.0,12:00,-,720
1997-10-17,UFC 15: Collision Course,Heavyweight,Dave Beneteau,def.,Carlos Barreto,Decision (unanimous),1.0,15:00,[c],900
1997-10-17,UFC 15: Collision Course,Heavyweight,Mark Kerr,def.,Greg Stott,KO (knee),1.0,0:17,-,17
1997-10-17,UFC 15: Collision Course,Heavyweight,Mark Kerr,def.,Dwayne Cason,Submission (rear-naked choke),1.0,0:53,[b],53
1997-10-17,UFC 15: Collision Course,Heavyweight,Randy Couture,def.,Vitor Belfort,TKO (punches),1.0,8:16,-,496
1997-10-17,UFC 15: Collision Course,Heavyweight,Maurice Smith (c),def.,Tank Abbott,Submission (exhaustion),1.0,8:08,[a],488
1997-12-21,UFC Japan: Ultimate Japan,Heavyweight,Vitor Belfort,def.,Joe Charles,Submission (armbar),1.0,4:03,-,243
1997-12-21,UFC Japan: Ultimate Japan,Heavyweight,Randy Couture,def.,Maurice Smith (c),Decision,1.0,21:00,[a],1260
1997-12-21,UFC Japan: Ultimate Japan,Heavyweight,Kazushi Sakuraba,def.,Marcus Silveira,Submission (armbar),1.0,3:44,[b],224
1997-12-21,UFC Japan: Ultimate Japan,Middleweight,Frank Shamrock,def.,Kevin Jackson,Submission (armbar),1.0,0:22,[c],22
1997-12-21,UFC Japan: Ultimate Japan,Heavyweight,Kazushi Sakuraba,vs.,Marcus Silveira,No Contest (premature stoppage),1.0,1:51,[d],111
1997-12-21,UFC Japan: Ultimate Japan,Heavyweight,Tank Abbott,def.,Yoji Anjo,Decision,1.0,15:00,[e],900
1997-12-21,UFC Japan: Ultimate Japan,Heavyweight,Tra Telligman,def.,Brad Kohler,Submission (armbar),1.0,10:05,-,605
1998-03-13,UFC 16: Battle in the Bayou,Middleweight,Frank Shamrock (c),def.,Igor Zinoviev,KO (slam),1.0,0:22,[a],22
1998-03-13,UFC 16: Battle in the Bayou,Lightweight,Chris Brennan,def.,Courtney Turner,Submission (armbar),1.0,1:20,-,80
1998-03-13,UFC 16: Battle in the Bayou,Lightweight,Laverne Clark,def.,Josh Stuart,TKO (punches),1.0,1:15,-,75
1998-03-13,UFC 16: Battle in the Bayou,Lightweight,Pat Miletich,def.,Townsend Saunders,Split decision,1.0,15:00,-,900
1998-03-13,UFC 16: Battle in the Bayou,Lightweight,Mikey Burnett,def.,Eugenio Tadeu,TKO (punches),1.0,9:46,[d],586
1998-03-13,UFC 16: Battle in the Bayou,Lightweight,Pat Miletich,def.,Chris Brennan,Submission (shoulder choke),1.0,9:01,[c],541
1998-03-13,UFC 16: Battle in the Bayou,Middleweight,Jerry Bohlander,def.,Kevin Jackson,Technical submission (armbar),1.0,10:21,[b],621
1998-03-13,UFC 16: Battle in the Bayou,Heavyweight,Tsuyoshi Kohsaka,def.,Kimo Leopoldo,Unanimous decision,1.0,15:00,-,900
1998-05-15,UFC 17: Redemption,Heavyweight,Andre Roberts,def.,Harry Moskowitz,KO (elbow),1.0,3:15,-,195
1998-05-15,UFC 17: Redemption,Middleweight,Carlos Newton,def.,Bob Gilstrap,Submission (triangle choke),1.0,0:54,-,54
1998-05-15,UFC 17: Redemption,Middleweight,Dan Henderson,def.,Allan Goes,Unanimous decision,1.0,15:00,-,900
1998-05-15,UFC 17: Redemption,Middleweight,Dan Henderson,def.,Carlos Newton,Split decision,1.0,15:00,-,900
1998-05-15,UFC 17: Redemption,Middleweight,Chuck Liddell,def.,Noe Hernandez,Unanimous decision,1.0,12:00,-,720
1998-05-15,UFC 17: Redemption,Heavyweight,Mike Van Arsdale,def.,Joe Pardo,Submission (kimura),1.0,11:01,-,661
1998-05-15,UFC 17: Redemption,Heavyweight,Tank Abbott,def.,Hugo Duarte,TKO (punches),1.0,0:43,-,43
1998-05-15,UFC 17: Redemption,Heavyweight,Pete Williams,def.,Mark Coleman,KO (head kick),1.0,12:38,-,758
1998-05-15,UFC 17: Redemption,Middleweight,Frank Shamrock (c),def.,Jeremy Horn,Submission (kneebar),1.0,16:28,[a],988
1998-10-16,UFC Brazil: Ultimate Brazil,Middleweight,Frank Shamrock (c),def.,John Lober,Submission (punches),1.0,7:40,[a],460
1998-10-16,UFC Brazil: Ultimate Brazil,Middleweight,Vitor Belfort,def.,Wanderlei Silva,TKO (punches),1.0,0:44,-,44
1998-10-16,UFC Brazil: Ultimate Brazil,Heavyweight,Pedro Rizzo,def.,Tank Abbott,KO (punch),1.0,8:07,-,487
1998-10-16,UFC Brazil: Ultimate Brazil,Heavyweight,Tsuyoshi Kosaka,def.,Pete Williams,Decision,1.0,15:00,-,900
1998-10-16,UFC Brazil: Ultimate Brazil,Lightweight,Pat Miletich,def.,Mikey Burnett,Split decision,1.0,21:00,[b],1260
