Date,Event,Fighter1,Fighter2,Method,Note,Result,Round,Time,Time (secs),Weight class
1993-11-12,UFC 1: The Beginning,Royce Gracie,Art Jimmerson,Submission (mount),-,def.,1.0,2:18,138,-
1993-11-12,UFC 1: The Beginning,Kevin Rosier,Zane Frazier,TKO (corner stoppage),-,def.,1.0,4:20,260,-
1993-11-12,UFC 1: The Beginning,Gerard Gordeau,Teila Tuli,TKO (head kick),-,def.,1.0,0:26,26,-
1993-11-12,UFC 1: The Beginning,Jason DeLucia,Trent Jenkins,Submission (rear-naked choke),-,def.,1.0,0:52,52,-
1993-11-12,UFC 1: The Beginning,Ken Shamrock,Patrick Smith,Submission (heel hook),-,def.,1.0,1:49,109,-
1993-11-12,UFC 1: The Beginning,Royce Gracie,Ken Shamrock,Submission (sleeve choke),-,def.,1.0,0:57,57,-
1993-11-12,UFC 1: The Beginning,Gerard Gordeau,Kevin Rosier,TKO (corner stoppage),-,def.,1.0,0:59,59,-
1993-11-12,UFC 1: The Beginning,Royce Gracie,Gerard Gordeau,Submission (rear naked choke),-,def.,1.0,1:44,104,-
1994-03-11,UFC 2: No Way Out,Johnny Rhodes,Fred Ettish,Submission (bulldog choke),[a],def.,1.0,3:07,187,-
1994-03-11,UFC 2: No Way Out,Patrick Smith,Ray Wizard,Submission (guillotine choke),-,def.,1.0,0:58,58,-
1994-03-11,UFC 2: No Way Out,Royce Gracie,Minoki Ichihara,Submission (lapel choke),-,def.,1.0,5:08,308,-
1994-03-11,UFC 2: No Way Out,Jason DeLucia,Scott Baker,Submission (triangle Choke),-,def.,1.0,6:41,401,-
1994-03-11,UFC 2: No Way Out,Remco Pardoel,Alberto Cerro Leon,Submission (forearm choke),-,def.,1.0,9:51,591,-
1994-03-11,UFC 2: No Way Out,Orlando Wiet,Robert Lucarelli,TKO (corner stoppage),-,def.,1.0,2:50,170,-
1994-03-11,UFC 2: No Way Out,Johnny Rhodes,David Levicki,Submission (punches),-,def.,1.0,12:13,733,-
1994-03-11,UFC 2: No Way Out,Royce Gracie,Patrick Smith,Submission (punches),-,def.,1.0,1:17,77,-
1994-03-11,UFC 2: No Way Out,Scott Morris,Sean Daugherty,Submission (guillotine choke),-,def.,1.0,0:20,20,-
1994-03-11,UFC 2: No Way Out,Royce Gracie,Jason DeLucia,Submission (armlock),-,def.,1.0,1:07,67,-
1994-03-11,UFC 2: No Way Out,Remco Pardoel,Orlando Wiet,KO (elbows),-,def.,1.0,1:29,89,-
1994-03-11,UFC 2: No Way Out,Patrick Smith,Scott Morris,KO (elbows),-,def.,1.0,0:30,30,-
1994-03-11,UFC 2: No Way Out,Royce Gracie,Remco Pardoel,Submission (lapel choke),-,def.,1.0,1:31,91,-
1994-03-11,UFC 2: No Way Out,Frank Hamaker,Thaddeus Luster,Submission (armlock),-,def.,1.0,4:52,292,-
1994-03-11,UFC 2: No Way Out,Patrick Smith,Johnny Rhodes,Submission (guillotine choke),-,def.,1.0,1:07,67,-
1994-09-09,UFC 3: The American Dream,Ken Shamrock,Christophe Leininger,Submission (punches),-,def.,1.0,4:49,289,-
1994-09-09,UFC 3: The American Dream,Royce Gracie,Kimo Leopoldo,Submission (armlock),[c],def.,1.0,4:40,280,-
1994-09-09,UFC 3: The American Dream,Harold Howard,Roland Payne,KO (punch),-,def.,1.0,0:46,46,-
1994-09-09,UFC 3: The American Dream,Steve Jennum,Harold Howard,Submission (punches),[a],def.,1.0,1:27,87,-
1994-09-09,UFC 3: The American Dream,Keith Hackney,Emmanuel Yarborough,TKO (punches),-,def.,1.0,1:59,119,-
1994-09-09,UFC 3: The American Dream,Ken Shamrock,Felix Mitchell,Submission (rear-naked choke),[b],def.,1.0,4:34,274,-
1994-12-16,UFC 4: Revenge of the Warriors,Steve Jennum,Melton Bowen,Submission (armbar),-,def.,1.0,4:47,287,-
1994-12-16,UFC 4: Revenge of the Warriors,Guy Mezger,Jason Fairn,TKO (corner stoppage),-,def.,1.0,2:13,133,-
1994-12-16,UFC 4: Revenge of the Warriors,Royce Gracie,Ron van Clief,Submission (rear-naked choke),-,def.,1.0,3:49,229,-
1994-12-16,UFC 4: Revenge of the Warriors,Marcus Bossett,Eldo Dias Xavier,KO (strikes),-,def.,1.0,4:55,295,-
1994-12-16,UFC 4: Revenge of the Warriors,Keith Hackney,Joe Son,Submission (blood choke),-,def.,1.0,2:44,164,-
1994-12-16,UFC 4: Revenge of the Warriors,Royce Gracie,Keith Hackney,Submission (armbar),-,def.,1.0,5:32,332,-
1994-12-16,UFC 4: Revenge of the Warriors,Royce Gracie,Dan Severn,Submission (triangle choke),-,def.,1.0,15:49,949,-
1994-12-16,UFC 4: Revenge of the Warriors,Dan Severn,Anthony Macias,Submission (rear-naked choke),-,def.,1.0,1:45,105,-
