Date,Event,Location,url
1993-11-12,UFC 1: The Beginning,"Denver, Colorado, USA",http://ufcstats.com/event-details/6420efac0578988b
1994-03-11,UFC 2: No Way Out,"Denver, Colorado, USA",http://ufcstats.com/event-details/a6a9ab5a824e8f66
1994-09-09,UFC 3: The American Dream,"Charlotte, North Carolina, USA",http://ufcstats.com/event-details/1a49e0670dfaca31
1994-12-16,UFC 4: Revenge of the Warriors,"Tulsa, Oklahoma, USA",http://ufcstats.com/event-details/b60391da771deefe
1995-04-07,UFC 5: The Return of the Beast,"Charlotte, North Carolina, USA",http://ufcstats.com/event-details/dedc3bb440d09554
1995-07-14,UFC 6: Clash of the Titans,"Casper, Wyoming, USA",http://ufcstats.com/event-details/1c3f5e85b59ec710
1995-09-08,UFC 7: The Brawl in Buffalo,"Buffalo, New York, USA",http://ufcstats.com/event-details/5af480a3b2e1726b
1995-12-16,UFC - Ultimate Ultimate '95,"Denver, Colorado, USA",http://ufcstats.com/event-details/31bbd46d57dfbcb7
1996-02-16,UFC 8: David vs Goliath,"San Juan, Puerto Rico",http://ufcstats.com/event-details/b63e800c18e011b5
1996-05-17,UFC 9: Motor City Madness,"Detroit, Michigan, USA",http://ufcstats.com/event-details/a390eb8a9b2df298
1996-07-12,UFC 10: The Tournament,"Birmingham, Alabama, USA",http://ufcstats.com/event-details/aee8eecfc4bfb1e7
1996-09-20,UFC 11: The Proving Ground,"Augusta, Georgia, USA",http://ufcstats.com/event-details/6ceff86fae4f6b3b
1996-12-07,UFC - Ultimate Ultimate '96,"Birmingham, Alabama, USA",http://ufcstats.com/event-details/9b5b5a75523728f3
1997-02-07,UFC 12: Judgement Day,"Dothan, Alabama, USA",http://ufcstats.com/event-details/96eff1a628adcc7f
1997-05-30,UFC 13: The Ultimate Force,"Augusta, Georgia, USA",http://ufcstats.com/event-details/5bd533d50c8e7b8a
1997-07-27,UFC 14: Showdown,"Birmingham, Alabama, USA",http://ufcstats.com/event-details/dc950d59dc590aca
1997-10-17,UFC 15: Collision Course,"Bay St. Louis, Mississippi, USA",http://ufcstats.com/event-details/07a18ae55dfc3cd9
1997-12-21,UFC - Ultimate Japan,"Yokohama, Kanagawa, Japan",http://ufcstats.com/event-details/29f935654825331b
1998-03-13,UFC 16: Battle in the Bayou,"New Orleans, Louisiana, USA",http://ufcstats.com/event-details/749685d24e2cac50
1998-05-15,UFC 17: Redemption,"Mobile, Alabama, USA",http://ufcstats.com/event-details/4a01dc8376736ef5
1998-10-16,UFC - Ultimate Brazil,"Sao Paulo, Brazil",http://ufcstats.com/event-details/32a3025d5db456ae
1999-01-08,UFC 18: The Road to the Heavyweight Title,"New Orleans, Louisiana, USA",http://ufcstats.com/event-details/c9bbf1a0285a8076
1999-03-05,UFC 19: Ultimate Young Guns,"Bay St. Louis, Mississippi, USA",http://ufcstats.com/event-details/a220be6d41d6f97d
1999-05-07,UFC 20: Battle for the Gold,"Birmingham, Alabama, USA",http://ufcstats.com/event-details/a7b48e18ca27795d
1999-07-16,UFC 21: Return of the Champions,"Cedar Rapids, Iowa, USA",http://ufcstats.com/event-details/1a1a4d7a29041d77
1999-09-24,UFC 22: Only One Can be Champion,"Lake Charles, Louisiana, USA",http://ufcstats.com/event-details/afaad7d6a581e307
1999-11-19,UFC 23: Ultimate Japan 2,"Chiba, Japan",http://ufcstats.com/event-details/a8fa0c4e95512806
2000-03-10,UFC 24: First Defense,"Lake Charles, Louisiana, USA",http://ufcstats.com/event-details/20ec0061400178ca
2000-04-14,UFC 25: Ultimate Japan 3,"Tokyo, Japan",http://ufcstats.com/event-details/d2b1c1317a39f6c6
2000-06-09,UFC 26: Ultimate Field Of Dreams,"Cedar Rapids, Iowa, USA",http://ufcstats.com/event-details/cedfdf8d423d500c
2000-09-22,UFC 27: Ultimate Bad Boyz,"New Orleans, Louisiana, USA",http://ufcstats.com/event-details/31652c9267606d54
2000-11-17,UFC 28: High Stakes,"Atlantic City, New Jersey, USA",http://ufcstats.com/event-details/da6dfd09cca1d705
2000-12-16,UFC 29: Defense of the Belts,"Tokyo, Japan",http://ufcstats.com/event-details/08ae5cd9aef7ddd3
2001-02-23,UFC 30: Battle on the Boardwalk,"Atlantic City, New Jersey, USA",http://ufcstats.com/event-details/2b1587a3376ab743
2001-05-04,UFC 31: Locked and Loaded,"Atlantic City, New Jersey, USA",http://ufcstats.com/event-details/20bd6c3e03c46ee6
2001-06-29,UFC 32: Showdown in the Meadowlands,"East Rutherford, New Jersey, USA",http://ufcstats.com/event-details/7b9aa973e5c04624
2001-09-28,UFC 33: Victory in Vegas,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c75b99887c8c3f5a
2001-11-02,UFC 34: High Voltage,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4dc496aa0cfc0d95
2002-01-11,UFC 35: Throwdown,"Uncasville, Connecticut, USA",http://ufcstats.com/event-details/946f341df6472ee0
2002-03-22,UFC 36: Worlds Collide,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/02fc8f50f56eb307
2002-05-10,UFC 37: High Impact,"Bossier City, Louisiana, USA",http://ufcstats.com/event-details/9fd1f08dd4aec14a
2002-06-22,UFC 37.5: As Real As It Gets,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/9ccdd2ce45903f34
2002-07-13,UFC 38: Brawl at the Hall,"London, England, United Kingdom",http://ufcstats.com/event-details/1dc56b59cb28425d
2002-09-27,UFC 39: The Warriors Return,"Uncasville, Connecticut, USA",http://ufcstats.com/event-details/0cf935519d439ba6
2002-11-22,UFC 40: Vendetta,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e06fd1260ac865a7
2003-02-28,UFC 41: Onslaught,"Atlantic City, New Jersey, USA",http://ufcstats.com/event-details/bba678d312590087
2003-04-25,UFC 42: Sudden Impact,"Miami, Florida, USA",http://ufcstats.com/event-details/ae58685caf8e4a0d
2003-06-06,UFC 43: Meltdown,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/108afe61a26bcbf4
2003-09-26,UFC 44: Undisputed,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/c61f66d8c3fd5f07
2003-11-21,UFC 45: Revolution,"Uncasville, Connecticut, USA",http://ufcstats.com/event-details/e670f8cc2969a789
2004-01-31,UFC 46: Supernatural,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/94609dd91731d428
