BODY_1,BODY_2,CLINCH_1,CLINCH_2,DISTANCE_1,DISTANCE_2,Date,Event,Fighter_1,Fighter_2,GROUND_1,GROUND_2,HEAD_1,HEAD_2,KD_1,KD_2,LEG_1,LEG_2,METHOD,PASS_1,PASS_2,REFEREE,REV_1,REV_2,ROUND,SIG_STR_1,SIG_STR_2,SUB_ATT_1,SUB_ATT_2,TD_1,TD_2,TIME,TIME_FORMAT,TOTAL_STR_1,TOTAL_STR_2,pSIG_STR_1,pSIG_STR_2,pTD_1,pTD_2
0 of 0,0 of 0,0 of 0,0 of 0,1 of 3,0 of 1,1993-11-12,UFC 1: The Beginning,Gerard Gordeau,Teila Tuli,2 of 2,0 of 0,3 of 5,0 of 1,0,0,0 of 0,0 of 0,KO/TKO,0,0,Joao Alberto Barreto,0,0,1,3 of 5,0 of 1,0,0,0 of 0,0 of 1,0:26,No Time Limit,3 of 5,0 of 1,60%,0%,0%,0%
3 of 4,3 of 6,4 of 9,10 of 19,4 of 10,0 of 7,1993-11-12,UFC 1: The Beginning,Kevin Rosier,Zane Frazier,7 of 8,2 of 2,12 of 23,7 of 19,2,0,0 of 0,2 of 3,KO/TKO,0,0,Joao Alberto Barreto,0,0,1,15 of 27,12 of 28,0,0,0 of 0,0 of 0,4:20,No Time Limit,38 of 53,13 of 29,55%,42%,0%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 3,0 of 0,1993-11-12,UFC 1: The Beginning,Royce Gracie,Art Jimmerson,0 of 0,0 of 0,0 of 1,0 of 0,0,0,0 of 2,0 of 0,Submission,2,0,Joao Alberto Barreto,0,0,1,0 of 3,0 of 0,0,0,1 of 1,0 of 0,2:18,No Time Limit,4 of 7,0 of 0,0%,0%,100%,0%
0 of 0,1 of 1,0 of 0,1 of 1,0 of 0,1 of 1,1993-11-12,UFC 1: The Beginning,Ken Shamrock,Patrick Smith,1 of 1,2 of 6,1 of 1,1 of 4,0,0,0 of 0,2 of 3,Submission,0,0,Joao Alberto Barreto,0,0,1,1 of 1,4 of 8,2,0,1 of 2,0 of 0,1:49,No Time Limit,4 of 4,16 of 20,100%,50%,50%,0%
1 of 1,0 of 1,0 of 0,0 of 0,5 of 8,0 of 3,1993-11-12,UFC 1: The Beginning,Gerard Gordeau,Kevin Rosier,6 of 9,0 of 0,7 of 13,0 of 1,1,0,3 of 3,0 of 1,KO/TKO,0,0,Joao Alberto Barreto,0,0,1,11 of 17,0 of 3,0,0,0 of 0,0 of 0,0:59,No Time Limit,11 of 17,0 of 3,64%,0%,0%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1993-11-12,UFC 1: The Beginning,Royce Gracie,Ken Shamrock,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0 of 0,0 of 0,Submission,2,0,Joao Alberto Barreto,1,0,1,0 of 0,0 of 0,1,0,0 of 1,0 of 1,0:57,No Time Limit,12 of 12,0 of 0,0%,0%,0%,0%
0 of 1,0 of 1,0 of 0,0 of 0,3 of 9,1 of 7,1993-11-12,UFC 1: The Beginning,Jason DeLucia,Trent Jenkins,0 of 0,0 of 0,3 of 7,0 of 5,0,0,0 of 1,1 of 1,Submission,1,0,Joao Alberto Barreto,0,0,1,3 of 9,1 of 7,1,0,1 of 2,0 of 0,0:52,No Time Limit,3 of 9,1 of 7,33%,14%,50%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,0 of 0,1993-11-12,UFC 1: The Beginning,Royce Gracie,Gerard Gordeau,1 of 1,0 of 0,1 of 1,0 of 0,0,0,0 of 1,0 of 0,Submission,2,0,Joao Alberto Barreto,0,0,1,1 of 2,0 of 0,1,0,1 of 3,0 of 0,1:44,No Time Limit,3 of 4,0 of 0,50%,0%,33%,0%
0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,1994-03-11,UFC 2: No Way Out,Frank Hamaker,Thaddeus Luster,1 of 2,0 of 0,2 of 3,0 of 0,0,0,0 of 0,0 of 0,Submission,4,0,John McCarthy,1,0,1,2 of 3,0 of 0,3,0,1 of 1,0 of 1,4:52,No Time Limit,14 of 15,0 of 0,66%,0%,100%,0%
1 of 1,0 of 1,0 of 0,0 of 0,1 of 3,2 of 6,1994-03-11,UFC 2: No Way Out,Orlando Wiet,Robert Lucarelli,7 of 9,0 of 0,7 of 11,1 of 2,0,0,0 of 0,1 of 3,KO/TKO,0,0,John McCarthy,0,0,1,8 of 12,2 of 6,0,1,0 of 0,1 of 1,2:50,No Time Limit,11 of 15,2 of 6,66%,33%,0%,100%
1 of 1,0 of 0,1 of 1,2 of 2,1 of 1,1 of 2,1994-03-11,UFC 2: No Way Out,Johnny Rhodes,David Levicki,9 of 15,1 of 1,9 of 15,4 of 5,0,0,1 of 1,0 of 0,KO/TKO,1,0,John McCarthy,0,0,1,11 of 17,4 of 5,0,0,1 of 1,0 of 0,12:13,No Time Limit,74 of 86,95 of 102,64%,80%,100%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1994-03-11,UFC 2: No Way Out,Royce Gracie,Remco Pardoel,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0 of 0,0 of 0,Submission,1,0,John McCarthy,0,0,1,0 of 0,0 of 0,1,0,1 of 2,0 of 0,1:31,No Time Limit,0 of 0,0 of 0,0%,0%,50%,0%
2 of 2,0 of 0,2 of 2,0 of 0,3 of 10,4 of 9,1994-03-11,UFC 2: No Way Out,Patrick Smith,Johnny Rhodes,0 of 0,0 of 0,1 of 4,2 of 5,0,0,2 of 6,2 of 4,Submission,0,0,John McCarthy,0,0,1,5 of 12,4 of 9,1,0,0 of 0,0 of 0,1:07,No Time Limit,5 of 12,4 of 9,41%,44%,0%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1994-03-11,UFC 2: No Way Out,Royce Gracie,Jason DeLucia,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0 of 0,0 of 0,Submission,1,0,John McCarthy,1,0,1,0 of 0,0 of 0,1,0,0 of 0,1 of 1,1:07,No Time Limit,0 of 0,0 of 0,0%,0%,0%,100%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1 of 2,1994-03-11,UFC 2: No Way Out,Remco Pardoel,Orlando Wiet,7 of 7,0 of 0,7 of 7,0 of 1,0,0,0 of 0,1 of 1,KO/TKO,1,0,John McCarthy,0,0,1,7 of 7,1 of 2,0,0,1 of 1,0 of 0,1:29,No Time Limit,7 of 7,5 of 7,100%,50%,100%,0%
0 of 0,1 of 2,1 of 1,1 of 1,0 of 0,0 of 1,1994-03-11,UFC 2: No Way Out,Royce Gracie,Patrick Smith,3 of 3,0 of 0,3 of 3,0 of 0,0,0,1 of 1,0 of 0,KO/TKO,2,0,John McCarthy,0,0,1,4 of 4,1 of 2,0,0,1 of 2,0 of 0,1:17,No Time Limit,11 of 11,2 of 3,100%,50%,50%,0%
1 of 1,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,1994-03-11,UFC 2: No Way Out,Patrick Smith,Scott Morris,12 of 16,0 of 0,12 of 16,0 of 0,0,0,0 of 0,0 of 0,KO/TKO,1,0,John McCarthy,0,0,1,13 of 17,0 of 0,0,0,0 of 0,0 of 1,0:30,No Time Limit,19 of 25,0 of 0,76%,0%,0%,0%
0 of 0,0 of 0,0 of 0,0 of 0,2 of 4,0 of 2,1994-03-11,UFC 2: No Way Out,Royce Gracie,Minoki Ichihara,0 of 0,3 of 5,0 of 0,3 of 6,0,0,2 of 4,0 of 1,Submission,1,0,John McCarthy,0,0,1,2 of 4,3 of 7,2,0,1 of 1,0 of 0,5:08,No Time Limit,110 of 114,12 of 16,50%,42%,100%,0%
1 of 2,0 of 0,0 of 0,0 of 0,2 of 4,0 of 2,1994-03-11,UFC 2: No Way Out,Jason DeLucia,Scott Baker,1 of 1,0 of 0,1 of 2,0 of 2,0,0,1 of 1,0 of 0,Submission,4,3,John McCarthy,4,2,1,3 of 5,0 of 2,5,0,0 of 1,1 of 1,6:41,No Time Limit,20 of 25,14 of 23,60%,0%,0%,100%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 1,1 of 1,1994-03-11,UFC 2: No Way Out,Remco Pardoel,Alberta Cerra Leon,4 of 5,0 of 2,4 of 5,1 of 3,0,0,0 of 1,0 of 0,Submission,2,0,John McCarthy,0,0,1,4 of 6,1 of 3,1,0,1 of 1,0 of 0,9:51,No Time Limit,20 of 22,9 of 11,66%,33%,100%,0%
