Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note
2020-05-16,UFC Fight Night: Overeem vs. Harris,2,3:00,win,,Alistair Overeem,Walt Harris,Heavyweight,68,25,1,0,0,0,3,0,KO/TKO,Punches
2020-05-16,UFC Fight Night: Overeem vs. Harris,3,5:00,win,,Claudia Gadelha,Angela Hill,Women's Strawweight,84,90,1,0,0,0,1,0,S-DEC,
2020-05-16,UFC Fight Night: Overeem vs. Harris,3,5:00,win,,Dan Ige,Edson Barboza,Featherweight,79,80,1,0,0,0,0,0,S-DEC,
2020-05-16,UFC Fight Night: Overeem vs. Harris,3,5:00,win,,Krzysztof Jotko,Eryk Anders,Middleweight,66,41,0,0,0,0,0,0,U-DEC,
2020-05-16,UFC Fight Night: Overeem vs. Harris,3,5:00,win,,Song Yadong,Marlon Vera,Featherweight,101,92,0,2,0,0,0,1,U-DEC,
2020-05-16,UFC Fight Night: Overeem vs. Harris,2,0:18,win,,Miguel Baeza,Matt Brown,Welterweight,37,33,0,0,0,0,1,0,KO/TKO,Punch
2020-05-16,UFC Fight Night: Overeem vs. Harris,1,0:39,win,,Kevin Holland,Anthony Hernandez,Middleweight,14,0,0,0,0,0,0,0,KO/TKO,Knees
2020-05-16,UFC Fight Night: Overeem vs. Harris,3,5:00,win,,Giga Chikadze,Irwin Rivera,Featherweight,61,34,1,0,0,0,0,0,U-DEC,
2020-05-16,UFC Fight Night: Overeem vs. Harris,3,5:00,win,,Nate Landwehr,Darren Elkins,Featherweight,118,121,0,1,0,0,0,1,U-DEC,
2020-05-16,UFC Fight Night: Overeem vs. Harris,1,3:36,win,,Cortney Casey,Mara Romero Borella,Women's Flyweight,6,5,0,1,2,0,0,0,SUB,Armbar
2020-05-16,UFC Fight Night: Overeem vs. Harris,2,2:05,win,,Rodrigo Nascimento,Don'Tale Mayes,Heavyweight,32,27,2,0,1,0,2,0,SUB,Rear Naked Choke
2020-05-13,UFC Fight Night: Smith vs. Teixeira,5,1:04,win,,Glover Teixeira,Anthony Smith,Light Heavyweight,138,86,1,1,0,0,5,0,KO/TKO,Punches
2020-05-13,UFC Fight Night: Smith vs. Teixeira,3,5:00,win,,Ben Rothwell,Ovince Saint Preux,Heavyweight,56,42,1,0,0,0,0,0,S-DEC,
2020-05-13,UFC Fight Night: Smith vs. Teixeira,2,4:25,win,,Drew Dober,Alexander Hernandez,Lightweight,61,34,0,3,0,0,0,0,KO/TKO,Punches
2020-05-13,UFC Fight Night: Smith vs. Teixeira,3,5:00,win,,Ricky Simon,Ray Borg,Bantamweight,67,47,7,0,0,0,5,0,S-DEC,
2020-05-13,UFC Fight Night: Smith vs. Teixeira,3,5:00,win,,Andrei Arlovski,Philipe Lins,Heavyweight,50,41,0,0,0,0,0,0,U-DEC,
