Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note
2000-09-22,UFC 27: Ultimate Bad Boyz,1,1:33,win,-,Pedro Rizzo,Dan Severn,Heavyweight,2,0,0,0,0,0,0,0,KO/TKO,Kicks
2000-09-22,UFC 27: Ultimate Bad Boyz,3,5:00,win,-,Maurice Smith,Bobby Hoffman,Heavyweight,43,10,0,4,0,0,0,3,S-DEC,-
2000-09-22,UFC 27: Ultimate Bad Boyz,1,4:32,win,-,Jeremy Horn,Eugene Jackson,Middleweight,2,2,1,0,1,0,3,0,SUB,Armbar
2000-09-22,UFC 27: Ultimate Bad Boyz,1,1:10,win,-,Fabiano Iha,Laverne Clark,Welterweight,1,1,1,0,2,0,0,0,SUB,Armbar
2000-09-22,UFC 27: Ultimate Bad Boyz,3,2:28,win,-,Yuki Kondo,Alexandre Dantas,Middleweight,33,14,0,2,0,0,1,4,KO/TKO,Flying Knee
2000-09-22,UFC 27: Ultimate Bad Boyz,3,5:00,win,-,Ian Freeman,Tedd Williams,Heavyweight,30,25,0,1,0,0,0,1,U-DEC,-
2000-09-22,UFC 27: Ultimate Bad Boyz,2,5:00,win,-,Jeff Monson,Tim Lajcik,Heavyweight,31,5,1,0,0,0,2,0,U-DEC,-
2000-09-22,UFC 27: Ultimate Bad Boyz,2,5:00,draw,draw,Brad Gumm,CJ Fernandes,Welterweight,18,28,0,1,0,0,1,0,U-DEC,-
2000-06-09,UFC 26: Ultimate Field Of Dreams,5,5:00,win,-,Kevin Randleman,Pedro Rizzo,Heavyweight,17,12,2,0,2,0,1,0,U-DEC,-
2000-06-09,UFC 26: Ultimate Field Of Dreams,3,5:00,win,-,Tyrone Roberts,David Dodd,Middleweight,16,10,1,0,0,0,0,0,U-DEC,-
2000-06-09,UFC 26: Ultimate Field Of Dreams,2,1:43,win,-,Pat Miletich,John Alessio,Welterweight,9,1,2,0,1,2,2,0,SUB,Armbar
2000-06-09,UFC 26: Ultimate Field Of Dreams,2,0:43,win,-,Amaury Bitetti,Alex Andrade,Middleweight,6,12,0,0,0,0,0,0,DQ,-
2000-06-09,UFC 26: Ultimate Field Of Dreams,1,4:34,win,-,Matt Hughes,Marcelo Aguiar,Welterweight,18,2,2,0,0,0,0,0,KO/TKO,-
2000-06-09,UFC 26: Ultimate Field Of Dreams,3,5:00,win,-,Jens Pulver,Joao Roque,Lightweight,4,5,0,1,0,0,0,0,U-DEC,-
2000-06-09,UFC 26: Ultimate Field Of Dreams,2,2:13,win,-,Ian Freeman,Nate Schroeder,Heavyweight,16,9,1,1,0,0,3,3,KO/TKO,Knees
2000-06-09,UFC 26: Ultimate Field Of Dreams,2,5:00,win,-,Shonie Carter,Adrian Serrano,Welterweight,26,6,3,0,0,0,3,0,U-DEC,-
2000-04-14,UFC 25: Ultimate Japan 3,5,5:00,win,-,Tito Ortiz,Wanderlei Silva,Middleweight,20,10,4,0,0,0,2,0,U-DEC,-
2000-04-14,UFC 25: Ultimate Japan 3,2,0:31,win,-,Murilo Bustamante,Yoji Anjo,Middleweight,11,0,4,0,1,0,7,0,SUB,Arm Triangle
2000-04-14,UFC 25: Ultimate Japan 3,1,4:38,win,-,Sanae Kikuta,Eugene Jackson,Middleweight,8,4,2,0,2,1,2,0,SUB,Armbar
2000-04-14,UFC 25: Ultimate Japan 3,3,5:00,win,-,Ron Waterman,Satoshi Honma,Heavyweight,51,6,3,0,1,1,4,0,U-DEC,-
2000-04-14,UFC 25: Ultimate Japan 3,3,1:54,win,-,Ikuhisa Minowa,Joe Slick,Middleweight,3,8,3,0,0,4,2,2,KO/TKO,-
2000-04-14,UFC 25: Ultimate Japan 3,3,5:00,win,-,Laverne Clark,Koji Oishi,Lightweight,13,1,0,3,0,0,0,2,M-DEC,-
2000-03-10,UFC 24: First Defense,1,3:23,win,-,Tedd Williams,Steve Judson,Heavyweight,9,14,0,0,0,0,0,0,KO/TKO,Punch
2000-03-10,UFC 24: First Defense,3,3:35,win,-,Lance Gibson,Jermaine Andre,Middleweight,33,27,2,0,1,0,5,0,KO/TKO,Knee
2000-03-10,UFC 24: First Defense,3,5:00,win,-,Dave Menne,Fabiano Iha,Lightweight,37,8,0,1,1,0,0,0,U-DEC,-
2000-03-10,UFC 24: First Defense,2,1:29,win,-,Bob Cook,Tiki Ghosn,Lightweight,22,24,1,0,2,0,3,0,SUB,Rear Naked Choke
2000-03-10,UFC 24: First Defense,2,2:41,win,-,Jens Pulver,David Velasquez,Lightweight,54,20,3,0,2,0,4,0,KO/TKO,Punches
