Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note,Date.1,Event.1,Fighter_R,Fighter_B,METHOD,ROUND.1,TIME.1,TIME_FORMAT,REFEREE,KD_R,KD_B,SIG_STR_R,SIG_STR_B,pSIG_STR_R,pSIG_STR_B,TOTAL_STR_R,TOTAL_STR_B,TD_R,TD_B,pTD_R,pTD_B,SUB_ATT_R,SUB_ATT_B,PASS_R,PASS_B,REV_R,REV_B,HEAD_R,HEAD_B,BODY_R,BODY_B,LEG_R,LEG_B,CLINCH_R,CLINCH_B,DISTANCE_R,DISTANCE_B,GROUND_R,GROUND_B
2000-11-17,UFC 28: High Stakes,3,4:13,win,-,Randy Couture,Kevin Randleman,Heavyweight,28.0,15.0,1.0,2.0,1.0,1.0,1.0,0.0,KO/TKO,Punches,2000-11-17,UFC 28: High Stakes,Randy Couture,Kevin Randleman,KO/TKO,3,4:13,5 Rnd (5-5-5-5-5),John McCarthy,0.0,0.0,28 of 41,15 of 19,68%,78%,71 of 85,47 of 51,1 of 1,2 of 2,100%,100%,1.0,1.0,1.0,0.0,0.0,0.0,17 of 29,8 of 12,8 of 9,6 of 6,3 of 3,1 of 1,14 of 16,6 of 6,0 of 5,3 of 7,14 of 20,6 of 6
2000-11-17,UFC 28: High Stakes,2,4:34,win,-,Josh Barnett,Gan McGee,Super Heavyweight,17.0,10.0,1.0,2.0,1.0,0.0,2.0,4.0,KO/TKO,Elbows,2000-11-17,UFC 28: High Stakes,Josh Barnett,Gan McGee,KO/TKO,2,4:34,3 Rnd (5-5-5),John McCarthy,0.0,0.0,17 of 24,10 of 21,70%,47%,44 of 55,24 of 35,1 of 1,2 of 5,100%,40%,1.0,0.0,2.0,4.0,0.0,0.0,10 of 17,9 of 20,5 of 5,0 of 0,2 of 2,1 of 1,6 of 7,2 of 2,1 of 4,1 of 2,10 of 13,7 of 17
2000-11-17,UFC 28: High Stakes,3,5:00,win,-,Renato Sobral,Maurice Smith,Heavyweight,7.0,5.0,4.0,0.0,2.0,0.0,1.0,0.0,M-DEC,-,2000-11-17,UFC 28: High Stakes,Renato Sobral,Maurice Smith,Decision - Majority,3,5:00,3 Rnd (5-5-5),John McCarthy,0.0,0.0,7 of 17,5 of 12,41%,41%,68 of 89,60 of 67,4 of 5,0 of 0,80%,0%,2.0,0.0,1.0,0.0,0.0,0.0,4 of 13,0 of 7,1 of 1,1 of 1,2 of 3,4 of 4,0 of 0,0 of 0,4 of 12,5 of 12,3 of 5,0 of 0
2000-11-17,UFC 28: High Stakes,1,0:15,win,-,Jens Pulver,John Lewis,Lightweight,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2000-11-17,UFC 28: High Stakes,Jens Pulver,John Lewis,KO/TKO,1,0:15,3 Rnd (5-5-5),Mario Yamasaki,1.0,0.0,1 of 3,0 of 1,33%,0%,1 of 3,0 of 1,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,1 of 3,0 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1 of 3,0 of 1,0 of 0,0 of 0
2000-11-17,UFC 28: High Stakes,2,5:00,win,-,Ben Earwood,Chris Lytle,Welterweight,5.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,U-DEC,-,2000-11-17,UFC 28: High Stakes,Ben Earwood,Chris Lytle,Decision - Unanimous,2,5:00,2 Rnd (5-5),Mario Yamasaki,0.0,0.0,5 of 9,2 of 3,55%,66%,64 of 71,29 of 31,2 of 2,0 of 0,100%,0%,0.0,1.0,4.0,0.0,0.0,0.0,5 of 9,0 of 1,0 of 0,2 of 2,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,2 of 3,4 of 8,0 of 0
2000-11-17,UFC 28: High Stakes,1,0:55,win,-,Andrei Arlovski,Aaron Brink,Heavyweight,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,SUB,Armbar,2000-11-17,UFC 28: High Stakes,Andrei Arlovski,Aaron Brink,Submission,1,0:55,3 Rnd (5-5-5),John McCarthy,0.0,0.0,2 of 4,0 of 5,50%,0%,2 of 4,0 of 5,1 of 1,0 of 1,100%,0%,2.0,0.0,0.0,0.0,0.0,0.0,1 of 3,0 of 5,0 of 0,0 of 0,1 of 1,0 of 0,0 of 2,0 of 2,2 of 2,0 of 3,0 of 0,0 of 0
2000-11-17,UFC 28: High Stakes,2,5:00,win,-,Mark Hughes,Alex Stiebling,Middleweight,9.0,4.0,2.0,0.0,3.0,1.0,4.0,0.0,U-DEC,-,2000-11-17,UFC 28: High Stakes,Mark Hughes,Alex Stiebling,Decision - Unanimous,2,5:00,2 Rnd (5-5),Mario Yamasaki,0.0,0.0,9 of 19,4 of 7,47%,57%,68 of 78,38 of 42,2 of 4,0 of 0,50%,0%,3.0,1.0,4.0,0.0,0.0,0.0,7 of 17,3 of 5,2 of 2,1 of 2,0 of 0,0 of 0,1 of 1,1 of 2,0 of 1,0 of 2,8 of 17,3 of 3
2000-12-16,UFC 29: Defense of the Belts,1,0:20,win,-,Dennis Hallman,Matt Hughes,Welterweight,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,SUB,Armbar,2000-12-16,UFC 29: Defense of the Belts,Dennis Hallman,Matt Hughes,Submission,1,0:20,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,0 of 0,1 of 1,0%,100%,0 of 0,1 of 1,0 of 0,1 of 1,0%,100%,1.0,0.0,0.0,0.0,0.0,0.0,0 of 0,0 of 0,0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1
2000-12-16,UFC 29: Defense of the Belts,1,4:58,win,-,Evan Tanner,Lance Gibson,Middleweight,32.0,6.0,1.0,0.0,0.0,0.0,3.0,0.0,KO/TKO,Punches,2000-12-16,UFC 29: Defense of the Belts,Evan Tanner,Lance Gibson,KO/TKO,1,4:58,3 Rnd (5-5-5),Mario Yamasaki,0.0,0.0,32 of 40,6 of 8,80%,75%,47 of 55,18 of 21,1 of 1,0 of 0,100%,0%,0.0,0.0,3.0,0.0,0.0,0.0,19 of 26,6 of 8,11 of 12,0 of 0,2 of 2,0 of 0,5 of 7,4 of 5,2 of 2,1 of 1,25 of 31,1 of 2
2000-12-16,UFC 29: Defense of the Belts,1,2:24,win,-,Fabiano Iha,Daiju Takase,Welterweight,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punches,2000-12-16,UFC 29: Defense of the Belts,Fabiano Iha,Daiju Takase,KO/TKO,1,2:24,3 Rnd (5-5-5),John McCarthy,0.0,0.0,8 of 12,0 of 2,66%,0%,16 of 20,1 of 3,1 of 1,0 of 0,100%,0%,0.0,0.0,0.0,0.0,0.0,0.0,8 of 12,0 of 2,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,8 of 12,0 of 0
